restaurant_name,location,Latitude,Longitude,Review
Tiara's Eats,"877, 1st Main Service Road, BDA Layout, Bhoomi Reddy Colony, Thippasandra, Bangalore",12.9762894268,77.6550364494,22
Thalassery Juice World,"C 45/48, Near Sathya Mini Super Market, Kammanahalli Main Road, Ulsoor, Bangalore",12.9863014,77.6353461,0
Cafe Inn,"21, Albert Street, Ashok Nagar, Richmond Road, Bangalore",12.9679691837,77.6063835248,0
Tiny Cafe,"3555, 3rd Cross, Service Road, Doopanahalli, Indiranagar, Bangalore",12.9645159286,77.6397038044,0
Cafe Igniite,"28A, 5th Floor, Residency Road, Brigade Road, Bangalore",12.9718882208,77.6071050391,0
Dilkhush Mukhwas,"Shop 1, 1st Floor, Gopalan Signature Mall, Old Madras Road, Bangalore",12.99291601,77.6618837938,0
Shawarma Social,"108/109, GMR Pride, Main Road, Beml Circle, Thippasandra, Bangalore",12.9716307653,77.6581052318,0
Dinesh Food Corner,"16, Somanath Mudaliar Street, Vannarpet, Near Balaji Theatre, Ejipura, Bangalore",12.9569141933,77.619307749,0
Tindi_Biryani,"13, MES Colony, Flourmill Road, Old Airport Road, Bangalore",12.9572294968,77.6616883278,0
Yohan Kitchen,"136/41, Grape Garden, Ejipura Main Road, Vivek Nagar, Ejipura, Bangalore",12.9502286837,77.6223741844,0
The Arabs,"3047, 80 Feet Road, Indiranagar, Bangalore",12.971736,77.6449727,0
Kerela Nandan,"117/A, Ground Floor, 16th Main, 13th Cross, 1st Stage, Tavarekere Main Road, BTM, Bangalore",12.9162092396,77.6101077721,0
The Nawab Kitchen,"117/A, Ground Floor, 16th Main, 13th Cross, 1st Stage, Tavarekere Main Road, BTM, Bangalore",12.9728512,77.6404991,0
Arabian Kabza House,"117/A, Ground Floor, 16th Main, 13th Cross, 1st Stage, Tavarekere Main Road, BTM, Bangalore",12.921312,77.611028,0
Swamy's Naati Kitchen,"373, HAL 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",12.9724761681,77.6413664746,4
Neriah,"483, 8th Cross, 10th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",12.968286,77.6515413,0
Bengali Bhoj,"16th Main, 13th Cross, 1st Stage, Tavarekere Main Road, BTM, Bangalore",12.9166775335,77.6105298847,0
Sandhya Veg,"29, Castle Street, Ashok Nagar, Brigade Road, Bangalore",12.9673098515,77.6086345688,6200
i-Bar - The Park Bangalore,"The Park Bangalore, 14/7, MG Road, Bangalore",12.9740331283,77.6199038699,688
Cafe Idly,"38, Kenchappa Road Cross, Frazer Town, Bangalore",12.9984520767,77.6178295165,72
Caraway Kitchen - Conrad Bengaluru,"Conrad Bengaluru, Kensington Road, Someshwarpura, Ulsoor, Bangalore",12.9753138563,77.6201335341,331
Brahmin Home Food,"HVS NEST, A3, 17th E Cross, Near Royal Enfield, CMH Road, Indiranagar, Bangalore",12.9776995213,77.6329226419,127
All Saints Bakery,"126/2, Opposite Brigade Towers, Brigade Road, Bangalore",12.9670229859,77.6066799089,243
Crispy Crust Pizza,"15, Ground Floor, Muneeshwara Temple Street, 3rd Main Road, HAL 3rd Stage, Indiranagar, Bangalore",12.966102,77.6483579,229
Churmur Chaat Company,"Shop 01, Property 70, PID 77-12-70, 7th Corss, SR Nagar, BT Muniyappa Road, Residency Road, Bangalore",12.9662884,77.5944123,88
Sri Manjunatha Tiffin Centre,"1430/1, 6th Cross, Leela Palace Road, Kodihalli, Jeevan Bhima Nagar, Bangalore",12.9668289104,77.6500713453,59
Marine Sea Food,"1/32, Assaye Road, Ulsoor, Bangalore",12.988611801,77.619368434,48
Bangalore Thindies,"Site 1083, 5th Cross, 12 Main, HAL 2nd Stage, Indiranagar, Bangalore",12.9699788619,77.6387430355,50
Chikkanna Tiffin Room,"96, Osborne Road, Hermit Colony, Ulsoor, Bangalore",12.9875846604,77.6181731746,47
Knead-O Breads,"79, Ground Floor, Bazaar Street, Opposite Infant Jesus Church, Sampangi Garden, Koramangala 8th Block, Bangalore",12.9527754988,77.6185319255,13
The Burger Hub,"189, 4th Cross, Jai Jawan Nagar, Subbanna Palya, Banaswadi, Bangalore",13.0077827,77.6427288,212
Meera's Kitchen Home Made,"15, 10th A Cross, R A Road, Viveknagar Post, Ejipura, Bangalore",12.9544214841,77.6215266064,0
Sri Ganesh Darshini,"Shop 08, Rifco Santhosh Appartments, Wind Tunnel Main Road, Nal, Murgeshpalya, Old Airport Road, Bangalore",12.9575980584,77.6539327204,8
Nanav Store & Cafe,"2286, 14th A Main Road, HAL 2nd Stage, Indiranagar, Bangalore",12.9672739116,77.6421055198,96
Eddy's Cafe,"314, 6th Main, Defence Colony, 2nd Stage, Indiranagar, Bangalore",12.9738782643,77.6448531076,265
Little White Kitchen,"15, 1st Floor, St Patricks Complex, Brigade Road, Bangalore",12.9705905,77.6065978,35
SG Foods,"855, 5th Cross, 1st Stage, Indiranagar, Bangalore",12.981909,77.641328,0
Cafe Plume,"5, Stage 2, 1st Main Road, Indiranagar, Bangalore",12.9639108977,77.6402501017,7
Acha's Food,"38/1, Third Floor, Appareddy Palya, Indiranagar, 2nd Stage, Shanthinagara B.B.M.P East, Karnataka, Indiranagar, Bangalore",12.9739182,77.6370849,0
Begum's Authentic Hyderabadi Kitchen,"9, Parappa Field, Neelasandra, Richmond Road, Bangalore",12.9571249403,77.6134085655,59
Heights & Bites By Jula,"29, Sindhi Colony, Assaye Road, Frazer Town, Bangalore",12.994952275,77.6174590364,0
Sri Vinayaka Tiffin Center,"3346/3347, 13th Main, 2nd Stage, Indiranagar, Bangalore",12.968365501,77.6385743916,32
Bheemavarma's Biryani,"21/B, Basement Krishna Reddy Layout, Indiranagar, Bangalore",12.9565207148,77.6368712042,217
Chai Corner,"80, Bhoomi Reddy Colony, HAL 3rd Stage, Thippasandra, Bangalore",12.974018426,77.6496170461,0
Hot N Cool,"80, HAL 3rd Stage, Bhoomi Reddy Colony, Thippasandra, Bangalore",12.9740197329,77.6496891305,0
Cocoberry,"212/A, First Floor, 1 Main Road, Domlur 2 Stage, Indiranagar, Bangalore",12.9654161404,77.6379615068,0
Bonomi,"755/7, 4th Floor, Near HDFC Bank, Krishna Temple Road, 1st Stage, Indiranagar, Bangalore",12.9792154,77.6448547,0
Mother's Special,"364, 4th Cross, 8th Main, Near Vivek Nagar Police Station Road, Ejipura, Bangalore",12.9394653585,77.6299091801,0
Flo,"3, MSR West Park, Church Street, Bangalore",12.9744251886,77.6068488881,530
Vamsi Tiffin Centre,"11, 3rd Main, 1st Cross, Bazaar Street, Ayyapa Temple Block, Vivek Nagar Post, Richmond Road, Bangalore",12.9578691,77.6169983,41
Priyanshi Bakery,"201, SMP Residency, Krishnamurti Nagar, New Baiyappanhalli, Indiranagar, Bangalore",12.98916,77.64562,0
Biriyani Zone,"95, EPIP Zone, Opposite Vydehi Hospital, Whitefield, Bangalore",12.9759881961,77.7269344032,238
Domino's Pizza,"Leisure Well, SJR I Park, 13, 14, 1, EPIP, ITPL Main Road, Near Satya Sai Medical Institute, Whitefield, Bangalore",12.98164748,77.72664607,84
Leon's Burgers & Wings,"1611, Prashanth Residential Layout, Pattandur Agrahara, Krishnaraja Puram, Hobli, Whitefield, Bangalore",12.9826543383,77.7483551504,122
Potful - Claypot Biryanis,"11, Ground Floor, Arya Hub, Kadugodi Main Road, Near Hope Farm Junction, Whitefield, Bangalore",12.983423,77.751138,11868
Burger King,"G-9 and G-10, Ground Floor, Ascends Park Square, ITPL Main Road, Whitefield, Bangalore",12.9870015013,77.7366265655,412
Shanmukha,"Opposite Cosmos Mall, Kundalahallitpl Main Road, Brookefield, Bangalore",12.9658634313,77.7182024717,599
Hotel Abooz- Eat 'N' Meet Restaurant,"107/1, Pattandur, Agrahara, Whitefield, Bangalore",12.9829163,77.7335348,15
Red Rhino,"4th Floor, Uptown Square, Seegehalli, Hoskote Road, Near Alliance 10 Downing Villas, Whitefield, Bangalore",13.0247030988,77.7614996955,6637
Pizza Hut,"LG/02, Lower Basement, Ascendas Park Square Mall, Whitefield, Bangalore",12.986913619,77.7363083884,601
Sri Udupi Food Hub,"908/216, Nallurahalli, Siddapura Road, Whitefield, Bangalore",12.9687846054,77.735491288,12
KFC,"Ascendas Park Square, 3rd Floor, ITPL Main Road, Whitefield, Bangalore",12.9870113023,77.7367589995,388
Empire Restaurant,"66/2, 67/1, Garudacharpalya, Whitefield Main Road, Mahadevapura, Whitefield, Bangalore",12.9938761569,77.6992697641,39278
Meghana Foods,"Near Technoiogy Mangement Centre, TMC Rahpit India Main Road, Brookefield, Bangalore",12.9769778127,77.7110939473,16454
Mani's Dum Biryani,"7, Trijal Commerspace, 1st Floor, Prashanth Layout, ITPL Main Road, Near Hope Farm Circle, Whitefield, Bangalore",12.9846472891,77.7495548129,604
T’s 21 Spice Biryani,"FC - 11, 4th Floor, Ascendas Park Square Mall, Mahadevapura, ITPL Main Road, Whitefield, Bangalore",12.9869578,77.7369498,1972
Kritunga Restaurant,"2nd Floor, Sriven Square, Gulmohar Road, Kundalahalli Gate, Opposite Shankar Eye Hospital, Brookefield, Bangalore",12.9558173259,77.7130965516,539
Sri Udupi Park,"1, Katha 157/8, Pattandur, Agrahara Village, Hobli, K R Puram, B.B.M.P East, Prashant layout, Whitefield, Bangalore",12.9825158682,77.7484081686,6
Beijing Bites,"Level 1, 1st Floor, Inorbit Mall, Whitefield, Bangalore",12.979841,77.727348,647
Moriz Restaurant,"614, C Block, AECS Layout, Kundalahalli, Brookefield, Bangalore",12.9647486332,77.7178259566,1859
Orbis Restaurant,"156, 3rd Cross, 11th Main, Kempapura Village, ITPL Main Road, Whitefield, Bangalore",12.9846,77.7492,74
Paradise Biryani,"10 - 12, Virginia Mall, Ramgondanahalli, Varthur Hobli, Whitefield, Bangalore",12.957818607,77.7457239479,2055
McDonald's,"Ground Floor, Ascendas Park Square, ITPL Main Road, Whitefield, Bangalore",12.9870900371,77.7362252399,338
Cakes Wagon,"Ventaka Subbiha Complex, ITPL Main Road, Nallurhalli, Whitefield, Bangalore",12.9719666336,77.7347118035,75
The Bake Feast,"243, Aswathappa Building, RSR Colony, Immadihalli Main Road, Near Axis Bank ATM, Whitefield, Bangalore",12.967228,77.759707,3356
Imperio Restaurant,"3, A Square Plaza, Ground Floor, ITPL Main Road, Near Brookefield Mall, Brookefield, Bangalore",12.9622893292,77.7167027816,2841
M.M.A Kabab and Rolls,"39/2, Munnekolala, Varthur Hobli, ITPL Main Road, Marathahalli, Bangalore",12.9567717488,77.7152533128,685
U.P. Dhaba,"107/P2, Arun Compound, Opposite HCL, ITPL Main Road, Whitefield, Bangalore",12.9841850036,77.7340177819,290
Onesta,"FC-02, Food Court Level 4, International Tech Park, Whitefield, Bangalore",12.9864057,77.7367313,14
MOJO Pizza - 2X Toppings,"120-P, A3, 1st Floor, Santosh Tower, 3rd Road, KIADB, EPIP Zone, Near ITPL, Whitefield, Bangalore",12.9773933917,77.7249217406,5464
CakeZone,"1, 1st Floor, Narayanappa Building, Nallurahalli, Dr BR Ambedakar Road, Whitefield, Bangalore",12.969339,77.735204,3425
Sri Alok Park,"Survey 87, Alok Plaza, Sadaramangala Industrial Area, Whitefield Road, Opposite ITPL, Whitefield, Bangalore",12.9878715022,77.7340533212,108
WarmOven Cake & Desserts,"Khata No 208/176/1, Hope farm, Pattandur Agrahara, Whitefield, Shop no 12, Second Floor, Arya Hub Mall, Mahadevapura, Whitefield, Bangalore",12.983313,77.751946,10101
Madurai Idly Shop,"Phase 1, Siddapura, Nallurahalli Main Road, Brookefield, Bangalore",12.9592013603,77.7319920436,26
The Punjabi Rasoi,"222/220/A, Sadaramangala, Whitefield Road, Near Whitefield, Bangalore",12.9879668216,77.7299898515,2353
Hyderabadi Handi Biryani,"832, 2nd Cross, Rajapalya Bus Stop, Mahadevapura Post, Opposite Printo, Whitefield, Bangalore",12.9909666291,77.7209919691,4786
Sri Lakshmi Vaibhav,"289, Opposite Whitefield Bus Stop, Near Jamia Masjid, Whitefield, Bangalore",12.969181331,77.7497117221,194
Akshatha Nati Style,"123, Opposite Brigade Tech Gardens, Brookefield, Bangalore",12.9651413,77.7182179,83
Dil Se Dilli,"956, 1st Floor, 1st Main, Rajapalya, Hoodi, ITPL Main Road, Whitefield, Bangalore",12.9906065,77.7214918,257
New Udupi Delicacy,"Vijayanagar, KIADB Export Promotion Industrial Area, Whitefield, Bangalore",12.9801338431,77.7271714434,55
A2B - Adyar Ananda Bhavan,"Khatha 208/176/1, Hope Farm Circle, Pattandur Agrahara, Whitefield Main Road, Whitefield, Bangalore",12.9835404161,77.7521444857,536
Kanti Sweets,"518, VV Arcade, 1st Main, AECS Layout, B Block, Kundalahalli, Brookefield, Bangalore",12.9647770587,77.7170078829,15347
Andhra Gunpowder,"Second Floor, Saptgiri Arcade, KEB Colony, Industrial Area, Hoodi, ITPL Main Road, Whitefield, Bangalore",12.9917026716,77.7133500203,3587
BOX8 - Desi Meals,"120-P, A3, 1st Floor, Santosh Tower, 3rd Road, Near ITPL, Whitefield, Bangalore",12.9773757492,77.7249505743,9627
FreshMenu,"161, Khatha No 255, Site 12, Whitefield Main Road, Patandur, Agrahara, Whitefield, Bangalore",12.9862141528,77.7449913695,30007
Biryani Trip - Destination Hyderabad,"Saptgiri Arcade, Second Floor, KEB Colony, Industrial Area, Hoodi, ITPL Main Road, Whitefield, Bangalore",12.9917026716,77.7133500203,2396
Chakh Le India,"6, Shamma Reddy Complex, Kundanahali, Brookefield, Bangalore",12.9575516615,77.7144336328,204
Pepe's Pizza,"Plot 7, 2nd Floor, Near Prashant Layout, I.T.P.L Main Road, Whitefield, Bangalore",12.9846063,77.7496865,50
Kidilum,"140, Pattandur Agrahara, ITPL Backgate, Whitefield, Bangalore",12.9842342,77.7335404,272
Dhaba Square,"91, Ground Floor, Nallurhalli Circle, Dr Ambedkar Statue, Whitefield, Bangalore",12.9694142848,77.7353092656,940
Kidilum Grand,"107/4, ITPL Back Gate, Pattandur Agrahara Road, Whitefield, Bangalore",12.9840843788,77.7333556116,12
Grill Factory,"Survey 166, Pattanduru Agrahara Village, ITPL Main Road, Whitefield, Bangalore",12.9802699,77.7574881,90
Nandhana Palace,"66/2/67/1, Whitefield Main Road, Garudacharpalya, Mahadevpura, Whitefield, Bangalore",12.9938585156,77.6992754638,3014
Al-Bek,"710, Thubarahalli, Varthur Main Road, Whitefield, Bangalore",12.9559996473,77.7215314284,31786
Five Star Chicken,"Shop 4, Narasaraju Complex, Hoodi, Mahadevapura, ITPL Main Road, Whitefield, Bangalore",12.9921623296,77.7177464962,2
Thalassery Restaurant,"66/2, 67/1, Garudacharpalya, Mahadevpura, Main Road, Whitefield, Bangalore",12.9938594957,77.6992687583,31
Imperial Restaurant,"Site 1 & 2, Shop A, Ground Floor, Saroj Square, Kundanahalli Gate Main Road, Marathahalli, Bangalore",12.956001281,77.7115070075,419
Polar Bear,"14/54, Ground Floor, The Planet, Unilever Research Centre, Whitefield, Bangalore",12.9639667686,77.7483380958,54
Corner House Ice Creams,"Ground Floor, Brookefield Mall, ITPL Main Road, Marathahalli, Bangalore",12.9659134,77.7181728,0
Chickpet Donne Biriyani House,"Shop 1, MR Complex, Immadihalli, Nagondahalli Main Road, Opposite HP Petrol Bunk, Whitefield, Bangalore",12.9708626,77.7676195,4
Behrouz Biryani,"122/3, Kundhanahalli, Mahadevpura, ITPL Main Road, Whitefield, Bangalore",12.9650240659,77.7183623984,4494
Ovenstory Pizza,"14/P1, First Floor, Umashankar Avenue, Hagdur Road, Whitefield, Bangalore",12.9624615172,77.7492782101,4934
Sharief Bhai,"Site 39/2, Ground Floor, Khata 1765/742, N S Complex, ITPL Main Road, Ashwathnagar Cross Road, Near Kundalahalli Signal, Munnekolalu, Brookefield, Bangalore",12.956719107,77.7147990974,3512
Subway,"12, Floor 4, Food Court, Ascendas Park Square Mall, Whitefield, Bangalore",12.9870005212,77.7366513759,152
Faasos - Wraps & Rolls,"122/3, Kundhanahalli, Mahadevpura, ITPL Main Road, Whitefield, Bangalore",12.9650410558,77.7181786671,4952
Taco Bell,"TFKT-17, 3rd Floor, Forum Shantiniketan Mall, Krishnarajapura, Thigalarapalya, Whitefield Main Road, ITPL Main Road, Whitefield, Bangalore",12.9895928361,77.7276596028,0
Chicking,"710, Thubarahalli, Whitefield, Bangalore",12.9561025707,77.7216206118,6934
EatFit,"2nd Floor, Orbis Tower, Prashanth Extension, Hope Farm Junction, Kadigodi, Whitefield, Bangalore",12.9847417,77.7489265,421
Dindigul Thalappakatti,"710, Thubarahalli, Whitefield, Bangalore",12.956065649,77.7215468511,3984
California Burrito,"FC 11, 4th Floor, Ascendas Park Square Mall, Mahadevapura, Whitefield, Bangalore",12.9869018578,77.7367975563,362
WOW! Momo,"4th Floor, Food Court 12, Ascendas Park Square Mall, International Tech Park, Whitefield Road, Whitefield, Bangalore",12.9870322112,77.7370101213,7
Kapoor's Cafe,"176, Thubarahalli, Whitefield Main Road, Near Kundalahalli Gate, Whitefield, Bangalore",12.9561277297,77.7199469134,3338
Natural Ice Cream,"14/P1, Hagadur Road, Whitefield, Bangalore",12.9624108737,77.7492842451,963
Lassi Shop,"32, MCC Tower, Opposite Sigma Tech Park, Varthur Main Road, Whitefield, Bangalore",12.9566054241,77.7443221584,197
New Naidu Hotel,"412, VNR Complex, Kodigehalli Main Road, Ayyappa Nagar, KR Puram, Bangalore",13.0044319747,77.7152017504,19
Asha Tiffins,"B Block, AECS Layout, Opposite BBMP, Brookefield, Bangalore",12.9644094879,77.714481242,66
Biryani By Kilo,"20/A-3, First Floor, EPIP Area, Near ITPL, Whitefield, Bangalore",12.977388491,77.7249338105,2578
Anand Sweets and Savouries,"65, Whitefield Main Road, Mahadevapura, Whitefield, Bangalore",12.9680309347,77.749947086,171
Goli Vada Pav No. 1,"ITPL Mail Road, Kundanahalli, Opposite Brookefield Mall, Brookefield, Bangalore",12.9662927514,77.7182628214,172
Nagarjuna,"88, Munnekolala Village, Varthur Hobli, Mahadevapura, Marathahalli, Bangalore",12.9483779738,77.6989281178,1523
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"03, Ground Floor, Poornima Complex, Mahadevapura, Whitefield, Bangalore",12.970103,77.749901,33
EasyBites by Empire,"Site 4, Survey 7/3, Varthur Hobli, Mahadevapur A, BBMP East, Brookefield, Bangalore",12.9601332115,77.7162310481,1258
Truffles,"28/1, BBMP Khata 355, Hoodi Village, Whitefield, Bangalore",12.9938118375,77.7033171908,603
Pizza@99,"948, Venkatesh Reddy Building, Rajapalya Hoodi, Whitefield, Bangalore",12.9913459216,77.7210144326,884
Wendy's,"Asset 1196/2416, MS Commercial Building, Seghalli Road, Kadugodi, Whitefield, Bangalore",13.0174618053,77.762375772,586
Sardarji Londonwaley,"06, Siddapura, Mahadevapura, B.B.M.P East, Opposite Croma, Whitefield, Bangalore",12.9563989243,77.7326951176,5526
Chinese Wok,"710, Varthur Main Road, Thubarahalli, B.B.M.P East, Whitefield, Bangalore",12.9560535596,77.7215451747,1808
"Frozen Bottle - Milkshakes, Desserts and Ice Cream","111 & 123/2, Ground Floor, Brookfields Mall, ITPL Main Road, Brookefield, Bangalore",12.9658330456,77.7181330696,5883
Amma's Pastries,"39, Ground Floor, MSM Towers, Ayyappa Nagar, Hoodimain Road, KR Puram, Bangalore",13.0032128124,77.7127880976,1600
Ashraya Upachar,"Shri Manjunathashwara Building, Battarahalli, KR Puram, Bangalore",13.0200221533,77.708915323,230
Narmada Chain of Restaurants,"1180/166/2-3, 42/2, Sai Towers, Munekollala, Varthur Hobli, Marathahalli, Bangalore",12.9554363324,77.7130285343,0
Meat and Eat,"8/1, Immadahalli Main Road, Opposite KEB Office, Whitefield, Bangalore",12.969298298,77.7539693937,51
Bakingo,"1, 2nd Floor, AECS Layout, ITPL Main Road, Kundalahalli, Marathahalli, Bangalore",12.9673203067,77.7162763104,4462
Rolls On Wheels,"197/9, First Floor, Whitefield, Bangalore",12.9635896735,77.7482254295,46
The Pizza Bakery,"Old 66, Survey 66/1, Ground Floor, Miraya Rose, Siddapur Village, Brookefield, Bangalore",12.9567465758,77.7323424071,154
Paratha Envy,"Saptgiri Arcade, Second Floor, KEB Colony, Industrial Area, Hoodi, ITPL Main Road, Whitefield, Bangalore",12.9917026716,77.7133500203,834
Call Me Chow,"2nd Floor, AP Arcade, Nagondanahalli, Immadihalli Main Road, ITPL Main Road, Whitefield, Bangalore",12.9732062,77.7701619,795
Barbeque Nation,"Unit 01-01, Ascendas Park Square Mall, ITPL Main Road, Whitefield, Bangalore",12.987356,77.735931,3044
Chowman,"1765/742, Site 39/2, Aswanth Nagar Cross, Kundanhalli Gate, Munnekolalu, Brookefield, Bangalore",12.956922,77.715087,614
Chulha Chauki Da Dhaba,"601, 3rd Floor, C Block, AECS Layout, Brookefield, Bangalore",12.9644558835,77.715760991,5070
The Belgian Waffle Co.,"Shop G4, Building 534, 1st Cross, Block 'B', AECS Layout, Kundalahalli, Brookefield, Bangalore",12.965015263,77.717412687,0
Baskin Robbins,"Unit 04-07, 4th Floor, Ascendas Park Mall Sadarmangla, ITPL Main Road, Whitefield, Bangalore",12.9871031326,77.7364690108,183
Great Indian Khichdi by EatFit,"2nd Floor, Orbis Tower, Prashanth Extension, Hope Farm Junction, Kadigodi, Whitefield, Bangalore",12.9847417,77.7489265,190
Anjappar,"90/3, Outer Ring Road, Opposite Innovative Multiplex, Marathahalli, Bangalore",12.9503368374,77.6997066289,247
Glen's Bakehouse,"100, Whitefield Main Road, Near Whitefield, Bangalore, Whitefield, Bangalore",12.9675886753,77.7497518531,1503
Big Bowl Company,"710, Varthur Main Road, Thubarahalli, B.B.M.P East, Whitefield, Bangalore",12.956285,77.721499,1136
New Udupi Garden,"35/1B, L.S. Crown, Munnekolala, Marathahalli, Bangalore",12.9564057859,77.7103251591,31
LunchBox - Meals and Thalis,"122/3, Mahadevapura B.B.M.P East, Brookefield, Bangalore",12.9650534715,77.7181803435,332
Biryani Blues,"78/2, Floors 1 and 2, Nallurahalli, Main Road, Whitefield, Bangalore",12.963576,77.732384,1169
Ghee And Turmeric,"Unit 8, G-Location, White field hub, Thubarahalli, Varthur Rd, Whitefield, Bangalore",12.9560300329,77.7214936584,1157
Biryani Paradise,"31/8, 2nd Phase, Hoodi Road, Doddanakundi, Opposite HDFC ATM, Whitefield, Bangalore",12.9865336663,77.7086353675,114
ZAZA 22 Spice Awadhi Biryani,"120-P, A3, Santosh Towers, KIADB Industrial Area, EPIP Zone, Whitefield, Bangalore",12.9773682348,77.7249197289,415
NH1 Bowls - Highway To North,"120-P, A3, Santosh Towers, Kiadb Industrial Area, EPIP Zone, Mahadepura, BBMP East, Whitefield, Bangalore",12.9773950252,77.7249053121,309
WOW! China,"3rd Floor, Food Court, Forum Neighbourhood Mall, Main Road, Whitefield, Bangalore",12.9599407642,77.7476467565,9
The Biryani Life,"122/3, Kundhanahalli, Mahadevpura, ITPL Main Road, Whitefield, Bangalore",12.9650586992,77.7182071656,438
Samosa Party,"204, Prashant Extension, Hope Farm, Swami Vivekanand Road, Whitefield, Bangalore",12.9825335103,77.7484302968,4300
Andhra Biryanis,"107, Pattandur Agrahara, Near ITPL Gate, Whitefield, Bangalore",12.9835763819,77.7332281549,182
UBQ By Barbeque Nation,"1st Floor, Ascendas Park Square, Whitefield Road, International Tech Park, Whitefield, Bangalore",12.9874121631,77.7358141914,3394
Smoor,"Upper Ground Floor, Forum Shantiniketan Mall, Thigalarapalya, ITPL Main Road, Whitefield, Bangalore",12.989536,77.7281015,635
The Dessert Heaven - Pure Veg,"1, 1st Floor, Nallurahalli, Dr. BR Ambedakar Road, Near Narayanappa Building, Brookefield, Bangalore",12.969364,77.735221,174
Shanghai Court,"101/9, Hoskote Main Road, Kadugodi, Seegehalli, Opposite Sai Garden, Whitefield, Bangalore",13.0084147909,77.7587152272,124
Kaati Zone Rolls and Wraps,"Shop 12 & 13, 2nd Floor, Arya Hub Mall, Hope Farm Signal, Prashanth Extension, Whitefield, Bangalore",12.9831977027,77.7520801127,2960
Zomoz - The Momo Company,"14/1P, 1st Floor, Umashankar Avenue, Hagahur Main Road, Whitefield, Bangalore",12.9624314578,77.7493248135,949
Chai Point,"1, 77/2A & 77/2B, Forum Shantiniketan Mall, Sadaramangala, Whitefield, Bangalore",12.9896395908,77.7275030315,147
Ludos Pizza,"201, 2nd Floor, Saptagiri Arcade, Near ICICI Bank, ITPL Main Road, Whitefield, Bangalore.",12.991683,77.713639,334
Dande's Hyderabad Biryani,"710, Thubarahalli, Varthur Main Road, Whitefield, Bangalore",12.9560535596,77.7215408161,10140
Nadan Pothichoru,"710, Thubarahalli, Varthur Main Road, Whitefield, Bangalore",12.956073164,77.7215545624,2527
The Good Bowl,"123, Kamala Complex, Near AECS Layout, ITPL Main Road, Whitefield, Bangalore",12.9650152442,77.718208842,1087
Udupi Gokula Veg,"61, 3rd Cross, Coconut Garden, Ayyappa Nagar, Kodigehalli Main Road, KR Puram, Bangalore",13.0046194873,77.7173414826,26
Adiga's,"7F, Doddanekkundi Industrial Area, Whitefield, Bangalore",12.9771,77.710772,188
Mangalore Kitchen,"5, First Floor, Apurva Sai Kuteer, HDFC Bank Building, Belathur, Kadugodi, Whitefield, Bangalore",13.0068007,77.7574768,11
Momoz,"54, Kundalahalli Gate, Shirdi Sai Nagar Main Road, Near More Super Market, Brookefield, Bangalore",12.9500179309,77.7156386152,58
The Parotta Combo,"66/2, 67/1, Garudacharpalya, Whitefield Main Road, Mahadevapura, Whitefield, Bangalore",12.9938559021,77.6992784813,601
Mealful Rolls - India's Biggest Rolls,"120-P, A3, Santosh Towers, KIADB Industrial Area, EPIP Zone, Whitefield, Bangalore",12.9773989458,77.7248509973,350
Biggies Burger,"313/314, Aecs B Block, Kundalahalli, Mahadevpura, Brookefield, Bangalore",12.9663464,77.7140805,4
Chaat Street,"Sri Vinayaka Tech Park Katha 101/267, 268/11, Ground Floor, Hoodi Graphite Main Road, Hoodi Village, Whitefield, Bangalore",12.98904,77.712059,796
Imperio Combo King,"66/2, 67/1, Garudacharpalya, Whitefield Main Road, Mahadevapura, Whitefield, Bangalore",12.9938588423,77.6992734522,1072
Keventers - Milkshakes & Desserts,"710, Thubarahalli, Varthur Main Road, Whitefield, Bangalore",12.956148,77.721558,1964
Mad Over Donuts,"Unit 009, Lower Ground Floor, Forum Shantiniketan Mall, ITPL Main Road, Sadarama, Hoodi, KR Puram, Bangalore",12.9898786,77.7281616,42
ITC Master Chef Creations,"710, Maruthi Seva Nagar, Varthur Main Road, Whitefield, Bangalore",12.9560810058,77.7215424925,849
Chinese BAE,"54, Kundalahalli Gate, Shirdi Sai Nagar Main Road, Near More Super Market, Brookefield, Bangalore",12.9500192379,77.7156168222,1332
Chung Wah's,"710, Varthur Road, Thubarahalli, Whitefield, Bangalore",12.956285,77.721499,23
Laddoos,"1, Ground Floor, 11th Cross, Kundalahalli, Doddanekundi, Mahadevapura, Marathahalli, Bangalore",12.9717572061,77.711742036,7
Basmati Biriyani Nation,"710, Thubarahalli, Varthur Main Road, Whitefield, Bangalore",12.9561881767,77.7215522155,6932
Chaayos Chai+Snacks=Relax,"05 And 06, Ground Floor, Ascendas Park Square Mall, International Tech Park, Whitefield, Bangalore",12.9870639011,77.736479044,101
Cream Stone Ice Cream,"28/1, SLN, HVP, Aster, KR Puram, Bangalore",12.9941228085,77.7035441995,1989
Cupcake Bliss Cakes & Desserts,"Shop 12 & 13, 2nd Floor, Arya Hub Mall, Hope Farm Signal, Prashanth Extension, Whitefield, Bangalore",12.9831875748,77.7520338446,1899
Yumlane Pizza,"284/1, Whitefield Main Road, Whitefield, Bangalore",12.96864708,77.74952297,60
