restaurant_name,Review,cusine,rating,place,price
Chianti,846,"Pizza, Pasta, Italian, Salad, Desserts, Beverages, Juices",4.5,mg road,100
Manjit Da Dhaba,832,"North Indian, Desserts",4.3,frazer town,100
Food Adda,7,"Fast Food, Sandwich, Pizza, Burger, Beverages",4.0,koramangala 5th block,100
Just Bake - Cakes & Confectioners,837,"Bakery, Desserts",3.7,btm,100
Udupi Shanthi Sagar,9,"North Indian, South Indian, Chinese, Street Food, Beverages",4.0,frazer town,100
Shahi Family Restaurant,409,"North Indian, Chinese, South Indian, Biryani",3.6,ulsoor,100
Al Noor,61,"North Indian, Chinese",4.4,shivajinagar,100
Sweet Bake - Cake & Desserts,549,"Bakery, Shake",3.9,kammanahalli,100
The Bangalore Creamery,3245,"Ice Cream, Desserts, Beverages, Shake, Waffle",4.2,koramangala 1st block,100
O4H - Order For Health,147,"Healthy Food, Salad, Wraps, Beverages",4.4,thippasandra,100
Tunday Kababi,3,"Awadhi, Kebab, Biryani",4.0,st. marks road,100
Sheesh Kebab,183,"Kebab, Iranian, Mughlai, Biryani, Rolls, Desserts",4.0,frazer town,100
Dhaba - Estd 1986 Delhi,127,"North Indian, Mughlai, Biryani, Kebab, Beverages, Desserts",3.9,koramangala 1st block,100
Mega Biryani,92,Biryani,4.1,near jeevan bhima nagar,100
GLOBO Ice Creams Of The World,41,Ice Cream,4.0,indiranagar,100
Mr. Chow,188,Momos,3.7,ulsoor,100
Punjabi Tandoor,170,"Chinese, North Indian, BBQ, Mughlai, Continental, Desserts, Beverages",3.7,kaggadasapura,200
Lion King,163,"Chinese, Thai, Seafood, Sichuan",3.9,kaggadasapura,200
Pind Punjabi,25,"North Indian, Mughlai, Biryani, Chinese",3.7,rammurthy nagar,200
Kabab Korner,228,"North Indian, Chinese, Mughlai, Sichuan",4.1,st. marks road,200
No.10 Fort Cochin,302,"Kerala, Seafood, Biryani, Chinese, Beverages, Desserts",4.0,st. marks road,200
Kachori Chowk,169,"North Indian, Street Food",4.0,koramangala 6th block,200
Little Italy,646,"Italian, Shake, Beverages, Desserts",3.7,kalyan nagar,200
Nasi And Mee,2889,"Asian, Japanese, Singaporean, Malaysian, Thai",4.3,koramangala 4th block,200
Art of Delight,2080,"Ice Cream, Desserts, Waffle, Beverages",4.2,residency road,200
Thali 99,37,"North Indian, Mughlai",3.1,ulsoor,200
KC Das - Sweet Bite,35,"Mithai, Street Food, Mishti, Bengali",4.0,frazer town,200
Delicious Momos,151,"Chinese, Momos, Sichuan",4.2,kammanahalli,200
Zwarma,6,"Shawarma, BBQ, Fast Food, Beverages",3.3,ulsoor,150
Samosa Singh,2856,"Street Food, Fast Food, Tea, North Indian",3.5,thippasandra,150
North Indian Bhukkads - NIB,930,"Street Food, North Indian, Biryani",3.9,koramangala 1st block,150
