id,hotel,link,cusine,rating,price_for_one
990,Cafe Mumbai,https://www.zomato.com/bangalore/cafe-mumbai-itpl-main-road-whitefield-bangalore/order,"Maharashtrian, Street Food",4.0,₹250 for one
991,Jade,https://www.zomato.com/bangalore/jade-marathahalli-bangalore/order,"Chinese, Seafood, Sichuan",4.0,₹250 for one
992,Uncle Peter's Pancakes,https://www.zomato.com/bangalore/uncle-peters-pancakes-whitefield-bangalore/order,Desserts,4.0,₹250 for one
993,Rangamati Bengali Cuisine,https://www.zomato.com/bangalore/rangamati-bengali-cuisine-whitefield-bangalore/order,"Bengali, North Indian, Chinese, Fast Food, Biryani, Desserts",3.4,₹150 for one
994,7 Days Restaurants,https://www.zomato.com/bangalore/7-days-restaurants-marathahalli-bangalore/order,"North Indian, Chinese, Mughlai, Biryani, Sichuan",3.4,₹150 for one
995,Signature Wraps & Rolls By Faasos,https://www.zomato.com/bangalore/signature-wraps-rolls-by-faasos-brookefield-bangalore/order,"Rolls, Wraps",-,₹150 for one
996,House Of Mughals,https://www.zomato.com/bangalore/house-of-mughals-brookefield-bangalore/order,"Mughlai, Biryani, Kebab, North Indian, BBQ, Desserts",3.5,₹150 for one
997,Vinayaka 99 Variety Dosa Corner,https://www.zomato.com/bangalore/vinayaka-99-variety-dosa-corner-kaggadasapura-bangalore/order,South Indian,4.1,₹150 for one
998,Paratha Joint,https://www.zomato.com/bangalore/paratha-joint-kaggadasapura-bangalore/order,North Indian,4.3,₹150 for one
999,Saanvika Foods,https://www.zomato.com/bangalore/saanvika-foods-2-brookefield-bangalore/order,"Burger, Sandwich, Waffle, Ice Cream, Shake, Desserts, Beverages",3.7,₹150 for one
1000,The Bawarchi,https://www.zomato.com/bangalore/the-bawarchi-itpl-main-road-whitefield-bangalore/order,"Hyderabadi, North Indian, Chinese, Biryani",3.6,₹150 for one
1001,The Burrito Company,https://www.zomato.com/bangalore/the-burrito-company-brookefield-bangalore/order,"Mexican, Beverages",3.9,₹150 for one
1002,Deccan Paradise,https://www.zomato.com/bangalore/deccan-paradise-whitefield-bangalore/order,"Biryani, Chinese, Seafood",3.9,₹150 for one
1003,Indian Aroma Resto Cafe,https://www.zomato.com/bangalore/indian-aroma-resto-cafe-brookefield-bangalore/order,"South Indian, North Indian, Biryani",4.0,₹150 for one
1004,The Kim Chi Chef,https://www.zomato.com/bangalore/the-kim-chi-chef-whitefield/order,"Chinese, Thai",4.0,₹150 for one
1005,Bengal Sweet And Restaurant,https://www.zomato.com/bangalore/bengal-sweet-and-restaurant-1-whitefield-bangalore/order,"Mithai, Chinese, Rolls, Biryani, Fast Food, Street Food, North Indian, Bengali",3.5,₹100 for one
1006,Stonelicious,https://www.zomato.com/bangalore/stonelicious-marathahalli/order,"Desserts, Ice Cream, Beverages, Shake",4.3,₹100 for one
1007,Chintu's,https://www.zomato.com/bangalore/chintus-2-whitefield-bangalore/order,"Fast Food, North Indian, Desserts, Beverages",3.7,₹100 for one
1008,Trattoria By Toscano,https://www.zomato.com/bangalore/trattoria-by-toscano-itpl-main-road-whitefield-bangalore/order,"Italian, Continental, Healthy Food, Desserts, Salad, Shake, Seafood",3.9,₹100 for one
1009,Saha Cabin Bengali Hotel,https://www.zomato.com/bangalore/saha-cabin-bengali-hotel-whitefield/order,Bengali,3.3,₹100 for one
1010,Bhojanashala,https://www.zomato.com/bangalore/bhojanashala-whitefield-bangalore/order,South Indian,3.7,₹100 for one
1011,Rolls First,https://www.zomato.com/bangalore/rolls-first-marathahalli-bangalore/order,"Rolls, North Indian, Fast Food, Mughlai, Sichuan",4.0,₹100 for one
1012,O2 Juice Bar,https://www.zomato.com/bangalore/o2-juice-bar-whitefield-bangalore/order,"Juices, Beverages, Healthy Food, Desserts, Shake",4.2,₹100 for one
1013,Kolkata New Style Famous Kati Roll,https://www.zomato.com/bangalore/kolkata-new-style-famous-kati-roll-whitefield/order,"Chinese, Rolls, Seafood",3.5,₹100 for one
1014,Buffalo Wild Wings,https://www.zomato.com/bangalore/buffalo-wild-wings-whitefield-bangalore/order,"American, Mexican, Healthy Food, Finger Food, Fast Food, Desserts",3.5,₹100 for one
1015,Burger Express,https://www.zomato.com/bangalore/burger-express-marathahalli-bangalore/order,"Burger, Fast Food, Shake",3.4,₹100 for one
1016,Burgerama,https://www.zomato.com/bangalore/burgerama-whitefield-bangalore/order,"Burger, Beverages, Fast Food",4.2,₹100 for one
1017,Pizza @ 109,https://www.zomato.com/bangalore/pizza-@-109-whitefield-bangalore/order,Pizza,3.6,₹200 for one
1018,Via Milano,https://www.zomato.com/bangalore/via-milano-brookefield-bangalore/order,"Pasta, Seafood, Fast Food, Beverages",3.6,₹200 for one
1019,Asia Seven,https://www.zomato.com/bangalore/asia-seven-itpl-main-road-whitefield-bangalore/order,"Chinese, Momos, Beverages",3.8,₹200 for one
1020,Candice's Gourmet Sandwiches,https://www.zomato.com/bangalore/candices-gourmet-sandwiches-whitefield-bangalore/order,"Sandwich, Salad, American, Beverages, Desserts",4.3,₹200 for one
1021,Kerala Note Book,https://www.zomato.com/bangalore/kerala-note-book-whitefield-bangalore/order,"Kerala, South Indian",3.4,₹200 for one
1022,Chaishala-Chuski Chai Wali,https://www.zomato.com/bangalore/chaishala-chuski-chai-wali-whitefield-bangalore/order,"Tea, Beverages, Street Food, Fast Food",4.3,₹200 for one
1023,Crazy Pizza,https://www.zomato.com/bangalore/crazy-pizza-kr-puram-bangalore/order,Pizza,3.8,₹200 for one
1024,Dil Tiffins,https://www.zomato.com/bangalore/dil-tiffins-varthur-main-road-whitefield-bangalore/order,"South Indian, Beverages",3.9,₹200 for one
1025,Green Cravings,https://www.zomato.com/bangalore/green-cravings-whitefield-bangalore/order,"Healthy Food, Continental",3.5,₹200 for one
1026,Shanghai Social,https://www.zomato.com/bangalore/shanghai-social-brookefield-bangalore/order,"Chinese, Sichuan",3.2,₹200 for one
1027,Edesia by Freshmenu,https://www.zomato.com/bangalore/edesia-by-freshmenu-whitefield-bangalore/order,"Bakery, Desserts",3.4,₹200 for one
1028,Flirt With Spices,https://www.zomato.com/bangalore/flirt-with-spices-1-whitefield-bangalore/order,"Bihari, North Indian",4.2,₹200 for one
1029,Kheer Kadamb Bengali Sweets,https://www.zomato.com/bangalore/kheer-kadamb-bengali-sweets-whitefield-bangalore/order,"Mishti, Street Food",3.8,₹50 for one
1030,Tummy Full,https://www.zomato.com/bangalore/tummy-full-whitefield-bangalore/order,South Indian,4.0,₹50 for one
1031,Infinity Family Restaurant,https://www.zomato.com/bangalore/infinity-family-restaurant-kaggadasapura-bangalore/order,"North Indian, Chinese, Seafood, Biryani",4.1,₹50 for one
1032,BLD Restaurant,https://www.zomato.com/bangalore/bld-restaurant-whitefield-bangalore/order,"North Indian, Chinese, Fast Food, Desserts, Beverages, Sichuan",3.4,₹50 for one
1033,Bombay Brasserie,https://www.zomato.com/bangalore/bombay-brasserie-varthur-main-road-whitefield-bangalore/order,"Modern Indian, Bar Food, Beverages",4.0,₹50 for one
1034,Mr. Shawarma,https://www.zomato.com/bangalore/mr-shawarma-2-whitefield-bangalore/order,"Lebanese, Fast Food, Wraps, Beverages",3.8,₹50 for one
1035,DP Ambur Hot Dum Biryani,https://www.zomato.com/bangalore/dp-ambur-hot-dum-biryani-kaggadasapura-bangalore/order,"Biryani, Kebab",3.8,₹50 for one
1036,Fnp Cakes 'N' More,https://www.zomato.com/bangalore/fnp-cakes-n-more-whitefield-bangalore/order,"Bakery, Desserts",4.0,₹50 for one
1037,Trattoria By Toscano,https://www.zomato.com/bangalore/trattoria-by-toscano-whitefield-bangalore/order,"Italian, Continental, Healthy Food, Desserts, Salad, Shake",3.9,₹50 for one
1038,Navras,https://www.zomato.com/bangalore/navras-brookefield-bangalore/order,"North Indian, Street Food, Desserts, Beverages",3.9,₹50 for one
1039,Wack Waffles & Brownies,https://www.zomato.com/bangalore/wack-waffles-brownies-kr-puram-bangalore/order,"Waffle, Desserts, Beverages",3.7,₹50 for one
1040,Prowl Foods By Tiger Shroff,https://www.zomato.com/bangalore/prowl-foods-by-tiger-shroff-marathahalli-bangalore/order,"Asian, North Indian, Healthy Food",3.4,₹50 for one
1041,Protein Chef,https://www.zomato.com/bangalore/protein-chef-whitefield-bangalore/order,"Sandwich, Rolls, North Indian",3.8,₹200 for one
1042,MS Bengali Hotel,https://www.zomato.com/bangalore/ms-bengali-hotel-1-whitefield-bangalore/order,"Bengali, North Indian, Chinese, Biryani",3.4,₹200 for one
1043,A.S Star Biryani,https://www.zomato.com/bangalore/a-s-star-biryani-whitefield-bangalore/order,"North Indian, Chinese, Lebanese",3.2,₹200 for one
1044,My Lunch Boxx - Mamatha's Home Food,https://www.zomato.com/bangalore/my-lunch-boxx-mamathas-home-food-kadubeesanahalli-bangalore/order,"South Indian, North Indian",3.9,₹200 for one
1045,Windmills Craftworks,https://www.zomato.com/bangalore/windmills-craftworks-whitefield/order,"Continental, North Indian, Mughlai, Kebab, Desserts",4.1,₹200 for one
1046,Slurpy Shakes,https://www.zomato.com/bangalore/slurpy-shakes-whitefield-bangalore/order,"Beverages, Ice Cream, Desserts",3.7,₹200 for one
1047,CupCake Noggins By CakeZone,https://www.zomato.com/bangalore/cupcake-noggins-by-cakezone-brookefield-bangalore/order,"Bakery, Desserts",3.6,₹200 for one
1048,Gourmet Ice Cream Cakes by Baskin Robbins,https://www.zomato.com/bangalore/gourmet-ice-cream-cakes-by-baskin-robbins-marathahalli-bangalore/order,"Bakery, Desserts, Ice Cream",4.2,₹200 for one
1049,Amar Rannaghor,https://www.zomato.com/bangalore/amar-rannaghor-marathahalli-bangalore/order,"Bengali, Mishti",3.6,₹200 for one
1050,Regale Restaurant,https://www.zomato.com/bangalore/regale-restaurant-marathahalli/order,"North Indian, Chinese, Mughlai, Kebab, Beverages",4.1,₹200 for one
1051,The Coffee Brewery,https://www.zomato.com/bangalore/the-coffee-brewery-kr-puram-bangalore/order,"Cafe, Beverages, Fast Food, Burger, Wraps, Desserts",4.0,₹200 for one
1052,Ramdev Sagar,https://www.zomato.com/bangalore/ramdev-sagar-brookefield/order,"South Indian, Chinese, Street Food, North Indian, Biryani, Ice Cream, Beverages, Shake",3.9,₹200 for one
1053,Punjabi Park Restaurant,https://www.zomato.com/bangalore/punjabi-park-restaurant-kr-puram-bangalore/order,"North Indian, Chinese, Sichuan",3.7,₹150 for one
1054,The Food Village,https://www.zomato.com/bangalore/the-food-village-brookefield-bangalore/order,"Fast Food, North Indian, Bengali",3.4,₹150 for one
1055,Ocean Cake,https://www.zomato.com/bangalore/ocean-cake-whitefield-bangalore/order,"Bakery, Shake",3.3,₹150 for one
1056,Lassi Ghar,https://www.zomato.com/bangalore/lassi-ghar-brookefield-bangalore/order,"Beverages, Ice Cream, Fast Food, Desserts, Shake",3.5,₹150 for one
1057,153 Biere Street,https://www.zomato.com/bangalore/153-biere-street-whitefield-bangalore/order,"Asian, Continental, North Indian, Malaysian, Italian, Desserts",4.1,₹150 for one
1058,Oota Bangalore,https://www.zomato.com/bangalore/oota-bangalore-whitefield/order,"Mangalorean, South Indian",4.1,₹150 for one
1059,Ledikeni Sweets & Savouries,https://www.zomato.com/bangalore/ledikeni-sweets-savouries-marathahalli-bangalore/order,"Mithai, Desserts, Street Food, Mishti",4.1,₹150 for one
1060,NN Food Court,https://www.zomato.com/bangalore/nn-food-court-kr-puram-bangalore/order,"North Indian, Biryani, Shake",3.6,₹150 for one
1061,Naan King,https://www.zomato.com/bangalore/naan-king-whitefield-bangalore/order,"North Indian, Fast Food, Beverages",4.1,₹150 for one
1062,The Hyderabad Chefs,https://www.zomato.com/bangalore/the-hyderabad-chefs-1-whitefield-bangalore/order,"North Indian, Chinese, Biryani, Rolls, Beverages, Shake, Sichuan",3.1,₹150 for one
1063,Cake Junction,https://www.zomato.com/bangalore/cake-junction-kaggadasapura-bangalore/order,"Bakery, Shake",2.8,₹150 for one
1064,Ambur Hot Dum Biriyani,https://www.zomato.com/bangalore/ambur-hot-dum-biriyani-marathahalli-bangalore/order,"Biryani, Kerala",4.3,₹150 for one
1065,Cafe Noir,https://www.zomato.com/bangalore/cafe-noir-whitefield/order,"Continental, Italian, Mexican, American, Waffle, Beverages, Desserts",3.7,₹400 for one
1066,Ciro's Pizzeria,https://www.zomato.com/bangalore/ciros-pizzeria-itpl-main-road-whitefield-bangalore/order,"Pizza, Panini",4.1,₹400 for one
1067,Andhra Meal Co,https://www.zomato.com/bangalore/andhra-meal-co-1-whitefield-bangalore/order,"South Indian, Desserts",2.9,₹400 for one
1068,Bangarpete Chats,https://www.zomato.com/bangalore/bangarpete-chats-brookefield-bangalore/order,Fast Food,4.0,₹400 for one
1069,Peppy Parathas & Rolls by Chai Point,https://www.zomato.com/bangalore/peppy-parathas-rolls-by-chai-point-itpl-main-road-whitefield-bangalore/order,"Fast Food, North Indian, Rolls, Healthy Food",3.3,₹400 for one
1070,Gilly's Restobar,https://www.zomato.com/bangalore/gillys-restobar-1-marathahalli-bangalore/order,"Finger Food, North Indian, Oriental, Seafood, Continental, Italian, Beverages",3.9,₹400 for one
1071,Blue Tokai Coffee Roasters,https://www.zomato.com/bangalore/blue-tokai-coffee-roasters-kr-puram-bangalore/order,"Cafe, Coffee, Healthy Food, Beverages, Desserts, American, Burger, Sandwich",4.0,₹400 for one
1072,Dragonite - Chinese Cuisine,https://www.zomato.com/bangalore/dragonite-chinese-cuisine-whitefield-bangalore/order,"Chinese, Thai, Sichuan",3.8,₹400 for one
1073,Khane Ka Khazana,https://www.zomato.com/bangalore/khane-ka-khazana-marathahalli-bangalore/order,"North Indian, Rolls, Fast Food",3.5,₹400 for one
1074,Darbar Chowk,https://www.zomato.com/bangalore/darbar-chowk-whitefield-bangalore/order,"North Indian, Chinese, Biryani",4.1,₹400 for one
1075,Rekha Restaurant,https://www.zomato.com/bangalore/rekha-restaurant-brookefield/order,"North Indian, Chinese, Kerala, Beverages, Sichuan",3.9,₹400 for one
1076,Living Bowls,https://www.zomato.com/bangalore/living-bowls-kr-puram-bangalore/order,Healthy Food,4.0,₹400 for one
1077,Mani's Hyderabadi Biryani,https://www.zomato.com/bangalore/manis-hyderabadi-biryani-marathahalli-bangalore/order,"Biryani, North Indian, Chinese",3.2,₹400 for one
1078,Nomad Rolls & Shakes,https://www.zomato.com/bangalore/nomad-rolls-shakes-whitefield-bangalore/order,"Rolls, Shake, Chinese, Lebanese, Sandwich, Fast Food, Beverages, Italian",3.3,₹400 for one
1079,Hopshaus,https://www.zomato.com/bangalore/hopshaus-whitefield-bangalore/order,"Continental, North Indian, Chinese, Beverages, Desserts, Sichuan",3.7,₹400 for one
1080,Mondelice Cakes,https://www.zomato.com/bangalore/mondelice-cakes-kr-puram-bangalore/order,"Bakery, Fast Food",3.9,₹400 for one
1081,Hotel Uttam Sagar,https://www.zomato.com/bangalore/hotel-uttam-sagar-whitefield/order,"North Indian, Chinese, Seafood, Sichuan",3.9,₹400 for one
1082,Delhi Kitchen,https://www.zomato.com/bangalore/delhi-kitchen-itpl-main-road-whitefield/order,North Indian,3.1,₹400 for one
1083,Noodle Bar,https://www.zomato.com/bangalore/noodle-bar-whitefield/order,"Chinese, Seafood, Thai, Momos, Beverages",3.9,₹400 for one
1084,Burgers@59,https://www.zomato.com/bangalore/burgers@59-whitefield-bangalore/order,"Burger, Fast Food",4.0,₹400 for one
1085,Delhi Walle,https://www.zomato.com/bangalore/delhi-walle-marathahalli-bangalore/order,"North Indian, Street Food, Chinese, Beverages",3.8,₹400 for one
1086,Hard Rock Cafe,https://www.zomato.com/bangalore/hard-rock-cafe-whitefield-bangalore/order,"Continental, American, Fast Food, Beverages, Desserts",3.8,₹400 for one
1087,Maharaja Kitchen,https://www.zomato.com/bangalore/maharaja-kitchen-brookefield-bangalore/order,"Biryani, Chinese, North Indian, Sichuan",3.6,₹400 for one
1088,INOX,https://www.zomato.com/bangalore/inox-brookefield-bangalore/order,"Fast Food, Street Food",3.6,₹400 for one
1089,Facecake,https://www.zomato.com/bangalore/facecake-3-kr-puram-bangalore/order,"Bakery, Desserts",3.1,₹200 for one
1090,VV Biryanis,https://www.zomato.com/bangalore/vv-biryanis-itpl-main-road-whitefield-bangalore/order,"Biryani, North Indian, Chinese, Street Food, Beverages, South Indian",3.5,₹200 for one
1091,Soroush Biryani,https://www.zomato.com/bangalore/soroush-biryani-whitefield-bangalore/order,"Biryani, North Indian, Mughlai",3.4,₹200 for one
1092,Lola,https://www.zomato.com/bangalore/lola-whitefield-bangalore/order,"Sandwich, Pizza, Salad, Fast Food",4.3,₹200 for one
1093,Mitti Cafe,https://www.zomato.com/bangalore/mitti-cafe-varthur-main-road-whitefield-bangalore/order,"South Indian, Chinese",3.8,₹200 for one
1094,Chandni Chowk,https://www.zomato.com/bangalore/chandni-chowk-marathahalli-bangalore/order,"Street Food, North Indian, Mithai",3.7,₹200 for one
1095,Cake Hopper,https://www.zomato.com/bangalore/cake-hopper-whitefield-bangalore/order,"Bakery, Beverages, Shake",3.6,₹200 for one
1096,Bangalore Tiffin Fusion (BTF),https://www.zomato.com/bangalore/bangalore-tiffin-fusion-btf-whitefield-bangalore/order,"North Indian, Fast Food",4.0,₹200 for one
1097,Cream Hut,https://www.zomato.com/bangalore/cream-hut-whitefield-bangalore/order,"Desserts, Beverages",3.8,₹200 for one
1098,Just Bake,https://www.zomato.com/bangalore/just-bake-3-kr-puram-bangalore/order,"Bakery, Fast Food",3.6,₹200 for one
1099,Nepali Restaurant,https://www.zomato.com/bangalore/nepali-restaurant-kr-puram-bangalore/order,"North Indian, Chinese, Momos",3.9,₹200 for one
1100,Sufis Fast Foods,https://www.zomato.com/bangalore/sufis-fast-foods-brookefield-bangalore/order,Chinese,4.0,₹200 for one
1101,Sri Lakshmi Bhavan,https://www.zomato.com/bangalore/sri-lakshmi-bhavan-2-marathahalli-bangalore/order,"Chinese, South Indian",3.8,₹100 for one
1102,Iyengars Bread Basket,https://www.zomato.com/bangalore/iyengars-bread-basket-brookefield-bangalore/order,"Bakery, Desserts, Fast Food",3.6,₹100 for one
1103,New Pizza pie,https://www.zomato.com/bangalore/new-pizza-pie-whitefield-bangalore/order,"Pizza, Fast Food",3.2,₹100 for one
1104,Sandwich 2 Poha,https://www.zomato.com/bangalore/sandwich-2-poha-brookefield-bangalore/order,"Sandwich, Beverages",4.2,₹100 for one
1105,The Restaurant @Whitefield,https://www.zomato.com/bangalore/the-restaurant-@whitefield-whitefield-bangalore/order,"South Indian, North Indian, Chinese, Biryani, Beverages, Sichuan",3.7,₹100 for one
1106,Biryani Bandhan,https://www.zomato.com/bangalore/biryani-bandhan-whitefield-bangalore/order,"North Indian, Chinese, Biryani",New,₹100 for one
1107,Kolkata Famous Kati Roll,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-2-kaggadasapura-bangalore/order,Rolls,3.9,₹100 for one
1108,Naaku's Kitchen,https://www.zomato.com/bangalore/naakus-kitchen-marathahalli-bangalore/order,"North Indian, Chinese, Bengali, Sichuan",3.7,₹100 for one
1109,MFC Juice And Cafe,https://www.zomato.com/bangalore/mfc-juice-and-cafe-1-itpl-main-road-whitefield-bangalore/order,"Ice Cream, Beverages, Juices",3.9,₹100 for one
1110,Gismat Arabic Jail Mandi Restaurant,https://www.zomato.com/bangalore/gismat-arabic-jail-mandi-restaurant-marathahalli-bangalore/order,"Arabian, Mandi, Kebab, North Indian",New,₹100 for one
1111,Jain Sweets And Savories,https://www.zomato.com/bangalore/jain-sweets-and-savories-whitefield-bangalore/order,"Mithai, Street Food, Beverages",-,₹100 for one
1112,Collage By Toscano,https://www.zomato.com/bangalore/collage-by-toscano-whitefield-bangalore/order,"Mughlai, North Indian, Asian, Continental, Pizza, Pasta, Beverages",4.1,₹100 for one
1113,Biryani Mount,https://www.zomato.com/bangalore/biryani-mount-2-whitefield-bangalore/order,"Biryani, North Indian",3.8,₹300 for one
1114,Snacks & Sundaes,https://www.zomato.com/bangalore/snacks-sundaes-kr-puram-bangalore/order,"Fast Food, Sandwich, Street Food, Desserts, Coffee, Tea, Juices, Beverages",3.5,₹300 for one
1115,Sonar Bangla,https://www.zomato.com/bangalore/sonar-bangla-varthur-main-road-whitefield-bangalore/order,"Bengali, Chinese, Sichuan, Seafood",3.8,₹300 for one
1116,Tandoor Box,https://www.zomato.com/bangalore/tandoor-box-whitefield/order,"Fast Food, North Indian, Rolls",3.9,₹300 for one
1117,Andhra Tiffin Room,https://www.zomato.com/bangalore/andhra-tiffin-room-itpl-main-road-whitefield-bangalore/order,"North Indian, South Indian, Chinese, Beverages",4.0,₹300 for one
1118,Ohh Kolkata,https://www.zomato.com/bangalore/ohh-kolkata-brookefield-bangalore/order,Bengali,3.5,₹300 for one
1119,Sardarji Di Rasoi,https://www.zomato.com/bangalore/sardarji-di-rasoi-varthur-main-road-whitefield-bangalore/order,"North Indian, Beverages",3.0,₹300 for one
1120,Odia Dhaba,https://www.zomato.com/bangalore/odia-dhaba-brookefield-bangalore/order,"North Indian, Chinese, Odia",3.2,₹300 for one
1121,Cakebee,https://www.zomato.com/bangalore/cakebee-kr-puram-bangalore/order,"Bakery, Desserts",4.3,₹300 for one
1122,Eatoz,https://www.zomato.com/bangalore/eatoz-varthur-main-road-whitefield-bangalore/order,"North Indian, Chinese, Fast Food, Shake, Sichuan",3.6,₹300 for one
1123,New Ankur Restaurant,https://www.zomato.com/bangalore/new-ankur-restaurant-whitefield-bangalore/order,"North Indian, Chinese, Mughlai, Sichuan",3.8,₹300 for one
1124,Sandwich Binge,https://www.zomato.com/bangalore/sandwich-binge-kr-puram-bangalore/order,"Sandwich, Fast Food, Beverages, Sichuan",3.4,₹300 for one
1125,Fusion Biryani,https://www.zomato.com/bangalore/fusion-biryani-whitefield-bangalore/order,"Biryani, Mithai",2.9,₹250 for one
1126,Darby's Pastries,https://www.zomato.com/bangalore/darbys-pastries-kaggadasapura-bangalore/order,Bakery,4.2,₹250 for one
1127,Halwai Sweets And Snacks,https://www.zomato.com/bangalore/halwai-sweets-and-snacks-itpl-main-road-whitefield-bangalore/order,"Mithai, Desserts, Street Food",3.8,₹250 for one
1128,Cheesecakes By CakeZone,https://www.zomato.com/bangalore/cheesecakes-by-cakezone-brookefield-bangalore/order,"Bakery, Desserts, Beverages, Ice Cream, Juices, Bengali, Mithai",-,₹250 for one
1129,Waffle Dreams,https://www.zomato.com/bangalore/waffle-dreams-kr-puram-bangalore/order,"Desserts, Fast Food, Beverages, Shake",3.3,₹250 for one
1130,Hyderabadi Old Biryani,https://www.zomato.com/bangalore/hyderabadi-old-biryani-marathahalli-bangalore/order,Biryani,2.8,₹250 for one
1131,Desi Chats,https://www.zomato.com/bangalore/desi-chats-kaggadasapura-bangalore/order,"Street Food, North Indian",3.6,₹250 for one
1132,Biryani Factory,https://www.zomato.com/bangalore/biryani-factory-kr-puram-bangalore/order,"Biryani, North Indian, Chinese, Sichuan",3.3,₹250 for one
1133,Marwadi Chaat Tiffin Services,https://www.zomato.com/bangalore/marwadi-chaat-tiffin-services-whitefield-bangalore/order,"North Indian, Chinese, Street Food",3.2,₹250 for one
1134,Sargam Sweets,https://www.zomato.com/bangalore/sargam-sweets-1-marathahalli-bangalore/order,"Mithai, Street Food",4.1,₹250 for one
1135,Fresca,https://www.zomato.com/bangalore/fresca-1-brookefield-bangalore/order,"Fast Food, Italian",3.4,₹250 for one
1136,Vijayawada Tiffins,https://www.zomato.com/bangalore/vijayawada-tiffins-itpl-main-road-whitefield-bangalore/order,"South Indian, North Indian",3.7,₹250 for one
1137,Hara Bhara Box,https://www.zomato.com/bangalore/hara-bhara-box-brookefield-bangalore/order,"North Indian, Beverages, Desserts, Juices",3.1,₹200 for one
1138,Vishal Sweets And Snacks,https://www.zomato.com/bangalore/vishal-sweets-and-snacks-marathahalli-bangalore/order,"Mithai, Street Food",4.1,₹200 for one
1139,House of Momos By A1 Food Services,https://www.zomato.com/bangalore/house-of-momos-by-a1-food-services-kr-puram-bangalore/order,Momos,3.4,₹200 for one
1140,Cafe Factory Co,https://www.zomato.com/bangalore/cafe-factory-co-1-marathahalli-bangalore/order,"Cafe, Juices, Beverages",3.8,₹200 for one
1141,Momo Burger Joint,https://www.zomato.com/bangalore/momo-burger-joint-marathahalli-bangalore/order,Momos,4.0,₹200 for one
1142,Burger Shop,https://www.zomato.com/bangalore/burger-shop-whitefield-bangalore/order,"Burger, Fast Food",3.8,₹200 for one
1143,The Fat Chef,https://www.zomato.com/bangalore/the-fat-chef-whitefield-bangalore/order,"Japanese, Italian, North Indian, Desserts, Beverages",4.1,₹200 for one
1144,Sanskriti Tiffins,https://www.zomato.com/bangalore/sanskriti-tiffins-brookefield-bangalore/order,"North Indian, Biryani, Mughlai",4.0,₹200 for one
1145,Burgerito,https://www.zomato.com/bangalore/burgerito-whitefield-bangalore/order,Fast Food,3.9,₹200 for one
1146,Kapital Kitchen,https://www.zomato.com/bangalore/kapital-kitchen-whitefield-bangalore/order,"North Indian, South Indian, Biryani",4.0,₹200 for one
1147,Bay Leaves,https://www.zomato.com/bangalore/bay-leaves-whitefield-bangalore/order,"North Indian, Hyderabadi, Continental, Italian, Chinese, Sichuan",3.5,₹200 for one
1148,Punjab Time,https://www.zomato.com/bangalore/punjab-time-varthur-main-road-whitefield-bangalore/order,North Indian,3.2,₹200 for one
1149,The Biryani Cart,https://www.zomato.com/bangalore/the-biryani-cart-1-whitefield-bangalore/order,"North Indian, Biryani, Chinese, Seafood",3.5,₹150 for one
1150,Food Court,https://www.zomato.com/bangalore/food-court-whitefield-bangalore/order,North Indian,-,₹150 for one
1151,Sri R Restaurant,https://www.zomato.com/bangalore/sri-r-restaurant-brookefield-bangalore/order,"Chinese, North Indian, Mughlai, Sichuan",New,₹150 for one
1152,Bangarpet Pani Puri,https://www.zomato.com/bangalore/bangarpet-pani-puri-itpl-main-road-whitefield-bangalore/order,Street Food,3.4,₹150 for one
1153,Biryani Time,https://www.zomato.com/bangalore/biryani-time-kr-puram-bangalore/order,"Biryani, Chinese",3.9,₹150 for one
1154,Meat Up Hearth,https://www.zomato.com/bangalore/meat-up-hearth-1-marathahalli-bangalore/order,"North Indian, Biryani",3.9,₹150 for one
1155,New Punjabi Tadka Express,https://www.zomato.com/bangalore/new-punjabi-tadka-express-kr-puram-bangalore/order,"North Indian, Chinese, Sichuan",3.5,₹150 for one
1156,Chini Mirchi Indo-Chinese Kitchen,https://www.zomato.com/bangalore/chini-mirchi-indo-chinese-kitchen-1-itpl-main-road-whitefield-bangalore/order,"Chinese, Sichuan",3.6,₹150 for one
1157,Jitu Bhai Dahibara Sweets & Savouries,https://www.zomato.com/bangalore/jitu-bhai-dahibara-sweets-savouries-marathahalli-bangalore/order,"South Indian, North Indian, Desserts",3.7,₹150 for one
1158,Chatpata India,https://www.zomato.com/bangalore/chatpata-india-whitefield/order,"Street Food, Desserts, Beverages",4.0,₹150 for one
1159,Kolkata Kitchen,https://www.zomato.com/bangalore/kolkata-kitchen-varthur-main-road-whitefield-bangalore/order,"Bengali, Seafood",3.6,₹150 for one
1160,Madurai Tiffin House,https://www.zomato.com/bangalore/madurai-tiffin-house-whitefield-bangalore/order,"South Indian, Beverages",3.2,₹150 for one
1161,Food Point,https://www.zomato.com/bangalore/food-point-1-whitefield-bangalore/order,"Healthy Food, North Indian",3.1,₹200 for one
1162,New York Waffles & Dinges,https://www.zomato.com/bangalore/new-york-waffles-dinges-kr-puram-bangalore/order,"Waffle, Desserts, Shake, Beverages",3.6,₹200 for one
1163,Amritam Super Foods,https://www.zomato.com/bangalore/amritam-super-foods-whitefield-bangalore/order,"Salad, Healthy Food, Juices",4.4,₹200 for one
