,cusine,Location,Rating,price_for_one
555,Desserts,Kaggadasapura,3.3,250
556,Beverages,Kaggadasapura,3.3,250
557,Cafe,MG Road,3.9,300
558,Beverages,MG Road,3.9,300
559,Desserts,MG Road,3.9,300
560,Desserts,Richmond Road,4.5,300
561,Beverages,Richmond Road,4.5,300
562,Chinese,Kaggadasapura,3.9,300
563,Tibetan,Kaggadasapura,3.9,300
564,Lebanese,Kalyan Nagar,3.6,300
565,Fast Food,Kalyan Nagar,3.6,300
566,Beverages,Kalyan Nagar,3.6,300
567,South Indian,Residency Road,4.1,300
568,Beverages,Residency Road,4.1,300
569,Biryani,CV Raman Nagar,3.2,300
570,South Indian,CV Raman Nagar,3.2,300
571,Chinese,CV Raman Nagar,3.2,300
572,North Indian,CV Raman Nagar,3.2,300
573,Seafood,CV Raman Nagar,3.2,300
574,Desserts,Thippasandra,4.1,300
575,Bakery,Thippasandra,4.1,300
576,Ice Cream,Brigade Road,4.4,300
577,Bakery,Brigade Road,4.4,300
578,Desserts,Brigade Road,4.4,300
579,Biryani,Indiranagar,4.2,300
580,North Indian,Indiranagar,4.2,300
581,Desserts,Indiranagar,4.2,300
582,Beverages,Commercial Street,4.3,300
583,Shake,Commercial Street,4.3,300
584,Ice Cream,Commercial Street,4.3,300
585,Desserts,Commercial Street,4.3,300
586,North Indian,Old Airport Road,4.0,300
587,Chinese,Shanti Nagar,4.0,300
588,North Indian,Shanti Nagar,4.0,300
589,Mughlai,Shanti Nagar,4.0,300
590,Pizza,Banaswadi,3.8,300
591,Fast Food,Banaswadi,3.8,300
592,Biryani,Kammanahalli,3.5,300
593,South Indian,Kammanahalli,3.5,300
594,Pasta,Koramangala 4th Block,4.1,300
595,Pizza,Koramangala 4th Block,4.1,300
596,Italian,Koramangala 4th Block,4.1,300
597,European,Koramangala 4th Block,4.1,300
598,Salad,Koramangala 4th Block,4.1,300
599,Desserts,Koramangala 4th Block,4.1,300
600,Beverages,Koramangala 4th Block,4.1,300
601,North Indian,CV Raman Nagar,3.9,300
602,Chinese,CV Raman Nagar,3.9,300
603,Mughlai,CV Raman Nagar,3.9,300
604,Rolls,CV Raman Nagar,3.9,300
605,Biryani,CV Raman Nagar,3.9,300
606,Seafood,CV Raman Nagar,3.9,300
607,Japanese,Church Street,3.9,300
608,Korean,Church Street,3.9,300
609,Sushi,Church Street,3.9,300
610,Asian,Church Street,3.9,300
611,Biryani,Jeevan Bhima Nagar,4.0,300
612,North Indian,Jeevan Bhima Nagar,4.0,300
613,South Indian,Kalyan Nagar,4.3,300
614,Coffee,Kalyan Nagar,4.3,300
615,BBQ,Old Madras Road,3.8,300
616,Arabian,Old Madras Road,3.8,300
617,Biryani,Old Madras Road,3.8,300
618,Chinese,Old Madras Road,3.8,300
619,North Indian,Old Madras Road,3.8,300
620,Mughlai,Old Madras Road,3.8,300
621,Desserts,Old Madras Road,3.8,300
622,Beverages,Old Madras Road,3.8,300
623,Desserts,Kaggadasapura,3.7,300
624,Bakery,Kaggadasapura,3.7,300
625,North Indian,Shivajinagar,4.2,300
626,Chinese,Shivajinagar,4.2,300
627,Mughlai,Shivajinagar,4.2,300
628,Biryani,Shivajinagar,4.2,300
629,North Indian,Marathahalli,3.6,300
630,Mangalorean,Marathahalli,3.6,300
631,BBQ,Marathahalli,3.6,300
632,Street Food,Marathahalli,3.6,300
633,Desserts,Marathahalli,3.6,300
634,Salad,Marathahalli,3.6,300
635,Beverages,Marathahalli,3.6,300
636,North Indian,Indiranagar,4.0,300
637,Rolls,Indiranagar,4.0,300
638,Kebab,Indiranagar,4.0,300
639,Mughlai,Indiranagar,4.0,300
640,Biryani,Indiranagar,4.0,300
641,Beverages,Indiranagar,4.0,300
738,South Indian,Thippasandra,4.2,150
739,Kerala,Thippasandra,4.2,150
740,Chinese,Thippasandra,4.2,150
741,Seafood,Thippasandra,4.2,150
742,Chettinad,Thippasandra,4.2,150
743,Fast Food,Ejipura,3.3,150
744,Ice Cream,Brigade Road,3.7,150
745,Mithai,Brigade Road,3.7,150
746,Desserts,Brigade Road,3.7,150
747,Naga,Ejipura,4.3,150
748,Chinese,Ejipura,4.3,150
749,Beverages,Ejipura,4.3,150
750,Cafe,Ground Floor Garuda Mall Brigade Road,4.0,150
751,Fast Food,Ground Floor Garuda Mall Brigade Road,4.0,150
752,Coffee,Ground Floor Garuda Mall Brigade Road,4.0,150
